name,category,pricing,level
ElevenLabs,Voiceovers,Freemium,Średniozaawansowany
GWI Spark,Consumer Insights,Płatny,Zaawansowany
Adobe Experience Platform,Data Management,Płatny,Zaawansowany
Salesforce Customer 360,CRM,Płatny,Zaawansowany
Speechify,Text-to-Speech,Freemium,Początkujący
LOVO AI,Voice Synthesis,Płatny,Średniozaawansowany
ActiveCampaign,Email Marketing,Płatny,Zaawansowany
Klaviyo,Email Marketing,Freemium,Średniozaawansowany
Blueshift,Customer Data,Płatny,Zaawansowany
Brandwatch,Social Monitoring,Płatny,Zaawansowany
BuzzSumo,Content Research,Płatny,Średniozaawansowany
Hootsuite,Social Management,Freemium,Początkujący
SocialBee,Social Scheduling,Płatny,Początkujący
HubSpot,Marketing Automation,Freemium,Zaawansowany
The Trade Desk,Advertising,Płatny,Zaawansowany
Amazon DSP,Programmatic Ads,Płatny,Zaawansowany
Adzooma,Ad Management,Freemium,Średniozaawansowany
GumGum,Digital Advertising,Płatny,Zaawansowany
DataRobot,Analytics,Płatny,Zaawansowany
Tableau,Visual Analytics,Płatny,Zaawansowany
Triple Whale,E-commerce Analytics,Płatny,Średniozaawansowany
Windsor.ai,Attribution,Płatny,Zaawansowany
Wix,Website Builder,Freemium,Początkujący
Shopify,Ecommerce,Płatny,Średniozaawansowany
Ahrefs,SEO,Płatny,Zaawansowany
Adobe Photoshop,Photo Editing,Płatny,Zaawansowany
Buffer,Social Management,Freemium,Początkujący
Mailchimp,Email Marketing,Freemium,Początkujący
SimpleTexting,SMS Marketing,Płatny,Średniozaawansowany
Intercom,Live Chat,Płatny,Zaawansowany
Carrd,Landing Pages,Freemium,Początkujący
Typeform,Forms/Surveys,Freemium,Początkujący
Chatbase,Chatbot Builder,Freemium,Początkujący
Gamma,Presentations,Freemium,Początkujący
Demio,Webinars,Płatny,Średniozaawansowany
Peech,Video Hosting,Freemium,Średniozaawansowany
Writesonic,SEO Content,Płatny,Średniozaawansowany
Kit,Newsletter,Freemium,Początkujący
Sender,Email Marketing,Freemium,Początkujący
Brevo,Email Marketing,Freemium,Średniozaawansowany
Beehiiv,Newsletter,Freemium,Początkujący
EmailOctopus,Email Marketing,Freemium,Początkujący
Zoho,CRM/Email,Freemium,Średniozaawansowany
MailerLite,Email Marketing,Freemium,Początkujący
Omnisend,Email for Ecommerce,Freemium,Średniozaawansowany
SendPulse,Multichannel,Freemium,Średniozaawansowany
GetResponse,Email Marketing,Freemium,Średniozaawansowany
SmartrMail,Ecommerce Email,Freemium,Średniozaawansowany
AWeber,Email Marketing,Freemium,Początkujący
Mailjet,Email Marketing,Freemium,Początkujący
Benchmark,Email Marketing,Freemium,Początkujący
CleverReach,Email Marketing,Freemium,Początkujący
Moosend,Email Marketing,Płatny,Średniozaawansowany
Campaigner,Email/SMS,Płatny,Zaawansowany
Constant Contact,Email Marketing,Płatny,Początkujący
Benchmark Email,Email Marketing,Freemium,Początkujący
Encharge,AI Email,Płatny,Zaawansowany
Ortto,Customer Tracking,Płatny,Zaawansowany
Drip,Ecommerce Email,Płatny,Średniozaawansowany
FloDesk,Email Marketing,Płatny,Początkujący
Qualaroo,A/B Testing,Płatny,Zaawansowany
Hotjar,Analytics,Freemium,Średniozaawansowany
Crazy Egg,A/B Testing,Płatny,Zaawansowany
Adobe Target,A/B Testing,Płatny,Zaawansowany
Plerdy,A/B Testing,Freemium,Średniozaawansowany
Statsig,A/B Testing,Freemium,Zaawansowany
VWO,A/B Testing,Płatny,Zaawansowany
Optimizely,A/B Testing,Płatny,Zaawansowany
WordStream,PPC,Płatny,Średniozaawansowany
Jacquard,PPC AI,Płatny,Zaawansowany
Spyfu,PPC,Płatny,Zaawansowany
Madgicx,PPC Automation,Płatny,Zaawansowany
RevealBot,PPC,Płatny,Zaawansowany
Morphio,PPC,Płatny,Zaawansowany
Paragone.ai,PPC,Płatny,Zaawansowany
TapClicks,PPC,Płatny,Zaawansowany
Cropink,Ad Creatives,Płatny,Średniozaawansowany
Feedink,Catalog Optimization,Płatny,Zaawansowany
Meta Ads Manager,Advertising,Darmowy,Średniozaawansowany
AdCreative.ai,Ad Creation,Płatny,Początkujący
Magix,Ad Tool,Płatny,Zaawansowany
Ad Alchemy,Ad Optimization,Płatny,Zaawansowany
Birch,PPC,Płatny,Zaawansowany
Davinci Resolve,Video Editing,Freemium,Zaawansowany
Adobe Premiere Pro,Video Editing,Płatny,Zaawansowany
Kinemaster,Video Editing,Freemium,Początkujący
Capcut,Video Editing,Darmowy,Początkujący
Final Cut Pro,Video Editing,Płatny,Zaawansowany
FlexClip,Video,Freemium,Początkujący
Freepik,Design,Freemium,Początkujący
InVideo,Video Creation,Freemium,Średniozaawansowany
Wistia,Video Hosting,Freemium,Średniozaawansowany
Vidyard,Video,Freemium,Zaawansowany
Loom,Video Recording,Freemium,Początkujący
Vimeo,Video Hosting,Freemium,Średniozaawansowany
Adobe Premiere Rush,Video Editing,Freemium,Początkujący
ProProfs Project,Project Mgmt,Płatny,Średniozaawansowany
Trello,Project Mgmt,Freemium,Początkujący
ClickUp,Project Mgmt,Freemium,Zaawansowany
Notion,Project Mgmt,Freemium,Początkujący
Motion,Project Mgmt,Płatny,Średniozaawansowany
Wrike,Project Mgmt,Freemium,Zaawansowany
Atlassian Jira,Project Mgmt,Freemium,Zaawansowany
Qualtrics,Surveys,Płatny,Zaawansowany
ProProfs Survey Maker,Surveys,Freemium,Początkujący
Alchemer,Surveys,Płatny,Zaawansowany
SurveyMonkey,Surveys,Freemium,Początkujący
Zoho Survey,Surveys,Freemium,Średniozaawansowany
Statista,Market Research,Płatny,Zaawansowany
Think With Google,Market Research,Darmowy,Początkujący
Attest,Surveys,Płatny,Zaawansowany
Ubersuggest,Keyword Research,Freemium,Początkujący
Pollfish,Surveys,Płatny,Zaawansowany
Suzy,Market Research,Płatny,Zaawansowany
SurveySparrow,Surveys,Freemium,Średniozaawansowany
Forsta,Surveys,Płatny,Zaawansowany
Google Forms,Surveys,Darmowy,Początkujący
ScoreApp,Quizzes/Surveys,Płatny,Średniozaawansowany
Unbounce,Landing Pages,Płatny,Zaawansowany
Swipe Pages,Landing Pages,Płatny,Średniozaawansowany
Leadpages,Landing Pages,Płatny,Średniozaawansowany
Instapage,Landing Pages,Płatny,Zaawansowany
HeyCollabs,Influencer Marketing,Płatny,Średniozaawansowany
Aspire,Influencer Marketing,Płatny,Zaawansowany
Easy Affiliate,Affiliate,Płatny,Średniozaawansowany
CJ Affiliate,Affiliate,Płatny,Zaawansowany
Avangate,Affiliate,Płatny,Zaawansowany
Upfluence,Influencer,Płatny,Zaawansowany
Modash.io,Influencer,Płatny,Średniozaawansowany
IROIN,Influencer,Płatny,Zaawansowany
Storyclash,Influencer,Płatny,Zaawansowany
influData,Influencer,Płatny,Zaawansowany
kolsquare,Influencer,Płatny,Zaawansowany
Linkster,Influencer,Płatny,Zaawansowany
Refluenced,Influencer,Płatny,Zaawansowany
GRIN,Influencer,Płatny,Zaawansowany
Squarespace,CMS,Płatny,Początkujący
BigCommerce,CMS/Ecommerce,Płatny,Zaawansowany
WordPress.org,CMS,Darmowy,Średniozaawansowany
Joomla,CMS,Darmowy,Zaawansowany
TYPO3,CMS,Darmowy,Zaawansowany
Contentful,CMS,Płatny,Zaawansowany
Sitecore,CMS,Płatny,Zaawansowany
Adobe Experience Manager,CMS,Płatny,Zaawansowany
Strapi,CMS,Darmowy,Zaawansowany
Decap CMS,CMS,Darmowy,Średniozaawansowany
Nuxt Content,CMS,Darmowy,Zaawansowany
Progress Sitefinity,CMS,Płatny,Zaawansowany
Prismic,CMS,Freemium,Zaawansowany
Sanity,CMS,Freemium,Zaawansowany
Dock,Sales Content,Płatny,Zaawansowany
Seismic,Sales Content,Płatny,Zaawansowany
Highspot,Sales Content,Płatny,Zaawansowany
Showpad,Sales Content,Płatny,Zaawansowany
Paperflite,Sales Content,Płatny,Zaawansowany
Showell,Sales Content,Płatny,Zaawansowany
Allego,Sales Content,Płatny,Zaawansowany
Dropbox,File Management,Freemium,Początkujący
LeadIQ,Lead Generation,Płatny,Zaawansowany
CoPilot AI,Lead Generation,Płatny,Zaawansowany
Seamless.AI,Lead Generation,Płatny,Zaawansowany
Outreach,Lead Generation,Płatny,Zaawansowany
Leadfeeder,Lead Generation,Płatny,Zaawansowany
UpLead,Lead Generation,Płatny,Średniozaawansowany
Hunter,Lead Generation,Freemium,Początkujący
Overloop,Lead Generation,Płatny,Zaawansowany
D&B Hoovers,Lead Generation,Płatny,Zaawansowany
Albacross,Lead Generation,Płatny,Zaawansowany
Famewall,Lead Generation,Płatny,Średniozaawansowany
Kaspr,Lead Generation,Płatny,Średniozaawansowany
Salesforce Marketing Cloud,Lead Generation,Płatny,Zaawansowany
ZoomInfo,Lead Generation,Płatny,Zaawansowany
Clearbit,Lead Generation,Płatny,Zaawansowany
DiscoverOrg,Lead Generation,Płatny,Zaawansowany
momencio,Lead Generation,Płatny,Zaawansowany
ClickBank,Affiliate,Darmowy,Średniozaawansowany
Flippa,Affiliate,Płatny,Zaawansowany
ShareASale,Affiliate,Darmowy,Średniozaawansowany
PartnerStack,Affiliate,Płatny,Zaawansowany
Levanta,Affiliate,Płatny,Zaawansowany
Amazon Associates,Affiliate,Darmowy,Początkujący
Walmart Affiliates,Affiliate,Darmowy,Początkujący
FirstPromoter,Affiliate Tracking,Płatny,Zaawansowany
PartnerStack,Affiliate,Płatny,Zaawansowany
Yoast SEO,SEO,Freemium,Średniozaawansowany
Duplichecker,Content Check,Darmowy,Początkujący
Awin,Affiliate,Darmowy,Zaawansowany
